PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,LUAS_WILAY,KEPADATAN,Latitude,Longitude
DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21609.0,0.36,60504.0,-6.1511664777432635,106.8142467917852
DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,9069.0,0.37,24527.0,-6.145000367913334,106.8131621700216
DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29085.0,0.53,54465.0,-6.170526012357975,106.85581123316095
DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913.0,0.97,42993.0,-6.168114036495869,106.86272925643132
DKI JAKARTA,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,6947.0,0.93,7497.0,-5.7273616743173985,106.59612463323833
DKI JAKARTA,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,7059.0,0.95,7401.0,-5.644392251826996,106.56249092784863
DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793.0,1.76,8971.0,-6.16605344230372,106.83434867469292
DKI JAKARTA,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN.,PULAU TIDUNG,5891.0,1.14,5156.0,-5.803540147634311,106.51309206588463
DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33383.0,0.47,71628.0,-6.1542608166906145,106.82902627693372
DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35906.0,1.31,27463.0,-6.142075543565887,106.82821066143408
DKI JAKARTA,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN.,PULAU PARI,3524.0,1.69,2083.0,-5.901696212429272,106.5965162524016
DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,21828.0,1.14,19144.0,-6.1653602453851875,106.81524320573142
DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,8643.0,0.82,10594.0,-6.1762528660060125,106.83941908597419
DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,23001.0,0.67,34418.0,-6.17158671019482,106.8477372631074
DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,29735.0,2.2,13512.0,-6.176012402142814,106.87168291238127
DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,27113.0,1.24,21803.0,-6.19046297163751,106.86595333913509
DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,31780.0,2.45,12985.0,-6.200904323387062,106.83386748239174
DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,10410.0,0.8,13044.0,-6.191572751400883,106.8394725852749
DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,43497.0,0.89,48691.0,-6.196889549277604,106.80592452005153
DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,41344.0,1.26,32685.0,-6.197117233428084,106.8159877165265
DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,27348.0,0.29,94196.0,-6.179627411626882,106.85560094170799
DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,86287.0,2.34,36802.0,-6.124306877356249,106.91201163227593
DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,15051.0,11.36,1325.0,-6.110590830961775,106.7357026178348
DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,55885.0,7.79,7177.0,-6.113299870006513,106.78672792142753
